Product_Category4_id,Category1,CATEGORY1,Category2,CategorY3,Category4,CAtegory3,Category3,CaTegory1,CategOry2,CATEgory3,category3
1863,,1,,,,,,,,,
1866,,1,,,,,,,,,
1869,,1,,,,,,,,,
1872,,1,,,,,,,,,
1875,,1,,,,,,,,,
1878,,1,,,,,,,,,
1884,,1,,,,,,,,,
1890,,1,,,,,,,,,
1893,,1,,,,,,,,,
1896,,1,,,,,,,,,
1902,1,,,,,,,,,,
1908,,1,,,,,,,,,
1911,,1,,,,,,,,,
1914,,1,,,,,,,,,
1917,,1,,,,,,,,,
1920,,1,,,,,,,,,
1923,,1,,,,,,,,,
1935,,1,,,,,,,,,
1938,,1,,,,,,,,,
1941,,1,,,,,,,,,
1944,1,,,,,,,,,,
1950,,1,,,,,,,,,
1953,,1,,,,,,,,,
1956,,1,,,,,,,,,
1962,,1,,,,,,,,,
1965,,,,,,,,1,,,
1968,,1,,,,,,,,,
1971,,1,,,,,,,,,
1974,,1,,,,,,,,,
1977,,1,,,,,,,,,
1983,,1,,,,,,,,,
1986,,1,,,,,,,,,
1992,,1,,,,,,,,,
1995,,1,,,,,,,,,
1998,,1,,,,,,,,,
2001,,1,,,,,,,,,
2001,,,,,,,,1,,,
2004,,1,,,,,,,,,
2004,,,,,,,,1,,,
2007,,1,,,,,,,,,
2010,,1,,,,,,,,,
2013,,1,,,,,,,,,
2016,,1,,,,,,,,,
2028,1,,,,,,,,,,
2031,,1,,,,,,,,,
2034,,1,,,,,,,,,
2040,,1,,,,,,,,,
2049,,1,,,,,,,,,
2052,,1,,,,,,,,,
2058,,,,,,,,1,,,
2061,,1,,,,,,,,,
2064,,1,,,,,,,,,
2067,,1,,,,,,,,,
2070,,1,,,,,,,,,
2073,,,,,,,,1,,,
2076,,1,,,,,,,,,
2079,,1,,,,,,,,,
2082,,1,,,,,,,,,
2085,,1,,,,,,,,,
2088,,1,,,,,,,,,
2094,,1,,,,,,,,,
2100,,1,,,,,,,,,
2103,,1,,,,,,,,,
2112,,1,,,,,,,,,
2121,1,,,,,,,,,,
2130,,1,,,,,,,,,
2145,,1,,,,,,,,,
2148,,,,,,,,1,,,
2151,,1,,,,,,,,,
2157,,1,,,,,,,,,
2160,,1,,,,,,,,,
2169,,1,,,,,,,,,
2172,,1,,,,,,,,,
2178,,1,,,,,,,,,
2181,,1,,,,,,,,,
2187,,1,,,,,,,,,
2193,,1,,,,,,,,,
2196,,1,,,,,,,,,
2214,,1,,,,,,,,,
2223,,1,,,,,,,,,
2226,,1,,,,,,,,,
2241,,1,,,,,,,,,
2283,,1,,,,,,,,,
2289,,1,,,,,,,,,
2295,,1,,,,,,,,,
2367,,1,,,,,,,,,
2370,,1,,,,,,,,,
2373,,1,,,,,,,,,
2481,,1,,,,,,,,,
2736,1,,,,,,,,,,
2751,1,,,,,,,,,,
2823,1,,,,,,,,,,
2847,,1,,,,,,,,,
2859,1,,,,,,,,,,
2859,1,,,,,,,,,,
2895,,,,,,,1,,,,
2904,,,,,,,1,,,,
2940,,1,,,,,,,,,
2943,,1,,,,,,,,,
2946,,1,,,,,,,,,
2961,,1,,,,,,,,,
3093,,1,,,,,,,,,
3117,,,,,,,1,,,,
3123,,,1,,,,,,,,
3126,,,,1,,,,,,,
3129,,,,,1,,,,,,
3132,,,,,,1,,,,,
3198,,,,,,,1,,,,
3210,,,,,,,1,,,,
3213,,,,,,,1,,,,
3216,,,,1,,,,,,,
3219,,,,,,,1,,,,
3222,,,,,,,1,,,,
3225,,,,,,,,,,1,
3228,,,,,,,1,,,,
3231,,,,,,,,,,1,
3234,,,,1,,,,,,,
3237,,,,1,,,,,,,
3240,,,,,,,1,,,,
3246,,,,1,,,,,,,
3249,,,,,,,1,,,,
3252,,,,,,,1,,,,
3261,,,,,,,1,,,,
3264,,,,,,,,,,,1
3267,,,,1,,,,,,,
3270,,,,,,,1,,,,
3273,,,,1,,,,,,,
3276,,,,,,,1,,,,
3279,,,,,,,1,,,,
3282,,,,1,,,,,,,
3285,,,,,,,1,,,,
3288,,,,,,,1,,,,
3291,,,,,,,1,,,,
3294,,,,1,,,,,,,
3297,,,,1,,,,,,,
3300,,,,,,,1,,,,
3303,,,,,,,,,,,1
3306,,,,1,,,,,,,
3309,,,,,,,,,,1,
3312,,,,1,,,,,,,
3315,,,,1,,,,,,,
3318,,,,1,,,,,,,
3321,,,,1,,,,,,,
3324,,,,1,,,,,,,
3327,,,,1,,,,,,,
3330,,,,,,,1,,,,
3333,,,,1,,,,,,,
3336,,,,1,,,,,,,
